Name,Applicants total,Admissions total,Enrolled total,Percent admitted - total,Admissions yield - total,Total price for in-state students living on campus 2013-14,Total price for students living on campus,State abbreviation,Sector of institution,Control of institution,Historically Black College or University,Historically Black Boolean,Degree of urbanization (Urban-centric locale),Carnegie Classification 2010: Basic,Total  enrollment,Full-time enrollment,Part-time enrollment,Undergraduate enrollment,Graduate enrollment,Full-time undergraduate enrollment,Part-time undergraduate enrollment,Percent of freshmen receiving any financial aid,"Percent of freshmen receiving federal, state, local or institutional grant aid",Percent of freshmen  receiving federal grant aid,Percent of freshmen receiving Pell grants,Percent of freshmen receiving other federal grant aid,Percent of freshmen receiving state/local grant aid,Percent of freshmen receiving institutional grant aid,Percent of freshmen receiving student loan aid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid
Brown University,28919,2654,1543,9,58,60460,60460,Rhode Island,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (very high research activity),8943,8527,416,6455,2488,6168,287,64,47,24,17,6,3,46,21,20,3
Bryant University,6013,4603,890,77,19,53598,53598,Rhode Island,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),3454,3276,178,3287,167,3200,87,89,88,16,16,15,11,87,61,61,15
Johnson & Wales University-Providence,12364,9399,2093,76,22,41461,41461,Rhode Island,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),10369,9594,775,9401,968,8754,647,99,98,41,39,40,17,98,92,91,15
Providence College,9660,5776,1027,60,18,57625,57625,Rhode Island,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),4665,3982,683,4135,530,3798,337,81,78,15,15,3,13,77,57,56,8
Rhode Island College,4492,3106,1071,69,34,20053,30751,Rhode Island,"Public, 4-year or above",Public,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),8700,5802,2898,7505,1195,5600,1905,86,67,44,43,31,52,38,66,65,9
University of Rhode Island,19824,15603,2993,79,19,26882,42448,Rhode Island,"Public, 4-year or above",Public,No,0,Suburb: Large,Research Universities (high research activity),16387,13662,2725,13354,3033,11829,1525,91,79,26,26,0,28,79,80,80,5
Roger Williams University,9021,7305,1104,81,15,49394,49394,Rhode Island,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (smaller programs),4732,4041,691,4411,321,3875,536,91,90,13,13,3,9,90,63,63,16
Salve Regina University,5070,3400,465,67,14,49950,49950,Rhode Island,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (medium programs),2603,1981,622,2026,577,1876,150,92,90,26,26,17,22,89,80,80,19
Anderson University,2190,1424,502,65,35,37014,37014,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Diverse Fields,2966,2156,810,2652,314,2131,521,100,100,33,29,11,70,99,64,61,13
Charleston Southern University,3640,2507,656,69,26,35740,35740,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (medium programs),3269,2661,608,2912,357,2601,311,100,100,46,45,19,75,99,78,77,7
Southern Wesleyan University,698,654,158,94,24,33750,33750,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Master's Colleges and Universities (larger programs),1701,1672,29,1333,368,1304,29,97,96,57,57,24,62,82,77,77,6
College of Charleston,11509,8092,2138,70,26,26656,43120,South Carolina,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (medium programs),11619,10022,1597,10488,1131,9708,780,75,62,20,20,5,49,35,43,42,4
Citadel Military College of South Carolina,2557,2056,676,80,33,25442,44243,South Carolina,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),3598,2668,930,2735,863,2517,218,85,69,22,21,3,44,34,55,54,7
Claflin University,4354,2290,435,53,19,32300,32300,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,Town: Distant,Baccalaureate Colleges--Arts & Sciences,1884,1807,77,1834,50,1767,67,98,97,92,92,59,96,58,95,95,3
Clemson University,18500,10706,3463,58,32,28502,45936,South Carolina,"Public, 4-year or above",Public,No,0,Suburb: Large,Research Universities (high research activity),21303,18963,2340,16931,4372,16050,881,91,89,16,16,5,61,65,42,42,5
Coker College,1273,678,247,53,36,34689,34689,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1172,1010,162,1144,28,1007,137,100,100,59,59,14,61,90,84,84,2
Columbia International University,302,189,103,63,54,32130,32130,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (smaller programs),1154,754,400,584,570,511,73,93,93,51,42,8,48,91,52,50,2
Columbia College,457,297,128,65,43,39316,39316,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (medium programs),1169,867,302,1010,159,723,287,98,98,51,51,5,78,97,68,67,1
Converse College,1565,814,237,52,29,42094,42094,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (medium programs),1333,775,558,746,587,671,75,98,98,44,44,5,65,98,83,82,8
Erskine College,750,523,194,70,37,47610,47610,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Arts & Sciences,815,744,71,605,210,565,40,100,100,45,45,20,69,100,74,74,3
Francis Marion University,3951,2239,744,57,33,20923,29901,South Carolina,"Public, 4-year or above",Public,No,0,Suburb: Small,Master's Colleges and Universities (smaller programs),4058,3388,670,3714,344,3316,398,99,95,65,65,13,60,24,73,73,1
Furman University,5953,3808,759,64,20,57276,57276,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,2953,2722,231,2797,156,2677,120,86,83,14,14,12,25,82,32,31,6
Lander University,3349,1412,569,42,40,22300,31336,South Carolina,"Public, 4-year or above",Public,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,2877,2592,285,2792,85,2586,206,99,97,51,51,13,84,38,73,72,6
Limestone College,2424,1290,451,53,35,36416,36416,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,3307,2390,917,3241,66,2386,855,100,99,48,47,17,40,92,76,76,7
Newberry College,887,524,238,59,45,40365,40365,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1039,1007,32,1039,0,1007,32,100,100,80,56,24,73,99,95,85,10
North Greenville University,1782,1032,505,58,49,30000,30000,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,2466,2102,364,2257,209,1993,264,100,100,40,40,6,74,100,51,50,4
Presbyterian College,1650,1089,296,66,27,46378,46378,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Arts & Sciences,1433,1395,38,1123,310,1087,36,100,100,27,27,19,61,99,65,57,8
University of South Carolina-Aiken,2620,1342,526,51,39,21701,30733,South Carolina,"Public, 4-year or above",Public,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,3299,2430,869,3175,124,2406,769,97,93,49,49,6,82,27,62,61,3
University of South Carolina-Beaufort,1387,1013,410,73,40,21396,31248,South Carolina,"Public, 4-year or above",Public,No,0,Town: Fringe,Baccalaureate Colleges--Diverse Fields,1724,1376,348,1724,0,1376,348,91,81,42,42,6,57,29,72,71,4
University of South Carolina-Columbia,23429,14199,4625,61,33,24804,42516,South Carolina,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),31964,28022,3942,24180,7784,22533,1647,90,86,19,19,3,53,63,47,46,6
Coastal Carolina University,10993,8139,2206,74,27,22656,35666,South Carolina,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (smaller programs),9478,8199,1279,8867,611,8032,835,91,73,39,39,7,49,29,73,72,10
South Carolina State University,4499,2285,569,51,25,26244,35378,South Carolina,"Public, 4-year or above",Public,Yes,1,Town: Distant,Doctoral/Research Universities,3463,2945,518,2937,526,2714,223,98,89,79,79,21,46,23,89,88,5
University of South Carolina-Upstate,3066,1969,806,64,41,22804,32832,South Carolina,"Public, 4-year or above",Public,No,0,Suburb: Midsize,Baccalaureate Colleges--Diverse Fields,5445,4236,1209,5308,137,4226,1082,97,94,50,50,17,83,34,70,69,5
Voorhees College,2726,1377,146,51,11,19876,19876,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,Rural: Fringe,Baccalaureate Colleges--Diverse Fields,536,516,20,536,0,516,20,99,98,93,92,67,51,45,91,91,1
Winthrop University,4285,3096,1096,72,35,25450,38020,South Carolina,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),6130,4928,1202,5048,1082,4432,616,99,97,48,45,10,87,46,73,71,12
Wofford College,2718,1870,415,69,22,49449,49449,South Carolina,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,1615,1598,17,1615,0,1598,17,92,91,19,17,13,47,89,45,45,5
Augustana College,1147,781,367,68,47,38200,38200,South Dakota,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,1765,1586,179,1697,68,1585,112,100,100,21,20,20,22,100,64,63,15
Black Hills State University,957,854,619,89,72,17862,19862,South Dakota,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (smaller programs),4464,2526,1938,4002,462,2487,1515,92,69,43,39,24,12,40,75,74,10
Dakota State University,781,648,318,83,49,18048,20048,South Dakota,"Public, 4-year or above",Public,No,0,Town: Distant,Master's Colleges and Universities (smaller programs),3129,1244,1885,2876,253,1190,1686,94,77,41,40,12,15,58,80,78,10
Dakota Wesleyan University,665,467,168,70,36,33060,33060,South Dakota,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,879,714,165,810,69,699,111,100,100,37,37,21,21,100,84,84,19
Mount Marty College,402,291,117,72,40,34802,34802,South Dakota,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,1225,652,573,1068,157,522,546,99,97,41,39,25,14,92,83,83,10
Northern State University,1157,1080,410,93,38,18921,20920,South Dakota,"Public, 4-year or above",Public,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,3275,1588,1687,2826,449,1531,1295,97,78,39,37,22,15,63,76,75,8
Presentation College,401,265,131,66,49,28914,28914,South Dakota,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,791,536,255,791,0,536,255,99,96,45,45,25,16,87,82,82,13
South Dakota State University,4851,4458,2306,92,52,19446,21528,South Dakota,"Public, 4-year or above",Public,No,0,Town: Remote,Research Universities (high research activity),12525,9146,3379,10969,1556,8646,2323,92,69,31,30,20,20,54,71,71,14
University of Sioux Falls,1385,1342,237,97,18,35780,35780,South Dakota,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,1408,938,470,1100,308,929,171,100,100,30,29,20,19,100,85,85,20
University of South Dakota,3606,3169,1342,88,42,20183,22265,South Dakota,"Public, 4-year or above",Public,No,0,Town: Distant,Research Universities (high research activity),10235,6031,4204,7633,2602,4732,2901,93,77,30,29,17,20,62,72,71,10
Aquinas College,119,62,36,52,58,35933,35933,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate/Associate's Colleges,574,220,354,505,69,189,316,100,100,50,50,11,61,78,72,72,6
Austin Peay State University,3332,2864,1522,86,53,21513,36009,Tennessee,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),10399,7150,3249,9550,849,6866,2684,99,92,56,56,1,76,20,56,55,1
Belmont University,5111,4082,1248,80,31,43030,43030,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),6915,6102,813,5506,1409,5117,389,87,75,15,15,4,25,69,75,72,5
Bethel University,2669,1362,637,51,47,30196,30196,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (medium programs),6634,5282,1352,5124,1510,3971,1153,94,91,76,76,29,32,45,84,84,0
Bryan College-Dayton,1151,433,187,38,43,31075,31075,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1704,1249,455,1573,131,1129,444,91,88,39,39,16,52,87,57,57,2
Carson-Newman University,3916,2607,481,67,18,34100,34100,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Small,Baccalaureate Colleges--Diverse Fields,2045,1761,284,1713,332,1658,55,100,100,51,51,17,67,99,71,71,4
Christian Brothers University,1943,922,254,47,28,38113,38113,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),1577,1135,442,1168,409,1021,147,100,100,49,49,2,76,100,66,66,1
Cumberland University,795,376,212,47,56,34130,34130,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Fringe,Master's Colleges and Universities (medium programs),1501,1099,402,1269,232,1056,213,100,99,51,47,10,73,98,57,56,2
Lipscomb University,3467,1827,684,53,37,40448,40448,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),4580,3403,1177,2890,1690,2590,300,100,100,26,26,9,55,100,50,50,5
East Tennessee State University,4721,4083,1881,86,46,23607,38919,Tennessee,"Public, 4-year or above",Public,No,0,City: Small,Doctoral/Research Universities,14691,11577,3114,11820,2871,9727,2093,94,88,47,46,7,71,17,46,46,3
Fisk University,3334,1323,226,40,17,35899,35899,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Arts & Sciences,646,612,34,611,35,589,22,98,95,62,62,13,17,91,68,66,2
Freed-Hardeman University,1042,959,356,92,37,32908,32908,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (medium programs),1811,1363,448,1385,426,1262,123,100,100,34,31,17,53,100,66,66,4
King University,933,595,210,64,35,37758,37758,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (medium programs),2575,2369,206,2191,384,2040,151,92,91,49,48,7,39,81,69,69,3
Lane College,4589,2256,405,49,18,18900,18900,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Small,Baccalaureate Colleges--Arts & Sciences,1554,1534,20,1554,0,1534,20,99,99,94,94,70,27,25,94,94,0
Le Moyne-Owen College,1242,290,190,23,66,18540,18540,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Diverse Fields,1023,879,144,1023,0,879,144,94,91,86,85,63,26,21,80,80,0
Lee University,1689,1548,812,92,52,26100,26100,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (medium programs),4922,3997,925,4550,372,3830,720,94,89,37,37,11,41,74,48,48,3
Lincoln Memorial University,975,682,191,70,28,32620,32620,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Master's Colleges and Universities (larger programs),3952,2983,969,1713,2239,1185,528,87,85,56,43,37,49,69,55,55,6
Maryville College,2196,1594,349,73,22,44472,44472,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Arts & Sciences,1168,1132,36,1168,0,1132,36,100,100,48,48,7,74,100,75,75,4
University of Memphis,5990,4098,2134,68,52,23535,38247,Tennessee,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (high research activity),21480,14385,7095,17223,4257,12318,4905,97,94,49,48,11,80,34,53,53,1
Middle Tennessee State University,9845,6888,3276,70,48,20818,36274,Tennessee,"Public, 4-year or above",Public,No,0,City: Midsize,Doctoral/Research Universities,23881,18280,5601,21162,2719,17381,3781,99,94,52,51,10,84,31,57,57,1
Milligan College,612,418,206,68,49,38266,38266,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Midsize,Baccalaureate Colleges--Diverse Fields,1198,1086,112,973,225,884,89,98,98,32,32,9,52,93,58,57,6
Rhodes College,3555,2049,545,58,27,53422,53422,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Baccalaureate Colleges--Arts & Sciences,2040,2027,13,2027,13,2014,13,95,94,15,15,14,26,93,47,46,2
Sewanee-The University of the South,3285,1980,488,60,25,47970,47970,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Rural: Distant,Baccalaureate Colleges--Arts & Sciences,1701,1669,32,1620,81,1602,18,77,77,20,20,7,24,71,16,16,0
Southern Adventist University,2313,885,490,38,55,30874,30874,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Large,Baccalaureate Colleges--Diverse Fields,3255,2544,711,2825,430,2348,477,99,97,38,38,3,16,96,59,59,0
Tennessee Wesleyan College,791,564,208,71,37,31400,31400,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1084,991,93,1068,16,991,77,95,95,51,51,16,74,77,66,66,2
The University of Tennessee-Chattanooga,7628,5917,2342,78,40,20530,35736,Tennessee,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),11674,9676,1998,10297,1377,9066,1231,96,94,35,35,3,90,35,73,73,3
The University of Tennessee-Knoxville,14396,10435,4276,72,41,27450,45940,Tennessee,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (very high research activity),30030,26283,3747,21182,8848,19799,1383,96,92,30,30,3,88,57,42,42,3
The University of Tennessee-Martin,3640,2791,1308,77,47,18509,32453,Tennessee,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (medium programs),7423,5988,1435,7025,398,5927,1098,96,96,53,53,6,85,55,53,53,1
Tennessee Technological University,4973,4633,2176,93,47,22963,37963,Tennessee,"Public, 4-year or above",Public,No,0,Town: Remote,Master's Colleges and Universities (larger programs),11118,9521,1597,10052,1066,9140,912,98,90,36,36,12,85,30,44,43,3
Trevecca Nazarene University,930,718,259,77,36,33322,33322,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,2406,1687,719,1492,914,1016,476,99,99,49,40,9,50,99,97,89,8
Tusculum College,2825,2041,310,72,15,35702,35702,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Master's Colleges and Universities (smaller programs),2055,1928,127,1844,211,1741,103,99,97,67,67,18,45,91,75,75,2
Union University,1932,1432,452,74,32,44220,44220,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (larger programs),3993,3047,946,2826,1167,2175,651,100,100,36,33,10,64,100,55,55,5
Vanderbilt University,31099,3963,1613,13,41,61112,61112,Tennessee,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (very high research activity),12757,11965,792,6835,5922,6764,71,65,62,13,13,3,9,60,11,10,1
Abilene Christian University,10188,4986,1030,49,21,41800,41800,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),4461,3831,630,3727,734,3510,217,99,99,24,23,7,20,99,58,57,17
Angelo State University,2599,2092,1220,80,58,18915,27411,Texas,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (medium programs),6536,5177,1359,5473,1063,4698,775,93,85,47,47,0,54,51,59,59,3
Austin College,3141,1841,364,59,20,47625,47625,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Baccalaureate Colleges--Arts & Sciences,1223,1220,3,1207,16,1204,3,99,99,30,30,30,40,99,81,81,13
Baylor University,29249,16809,3190,57,19,53886,53886,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Research Universities (high research activity),15616,15016,600,13292,2324,13059,233,96,95,18,18,5,23,94,49,48,18
Concordia University-Texas,1680,787,192,47,24,38420,38420,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),2565,1145,1420,1531,1034,1118,413,97,97,38,38,3,48,89,68,68,3
Texas A & M University-Corpus Christi,7091,6565,2051,93,31,20611,29107,Texas,"Public, 4-year or above",Public,No,0,City: Large,Doctoral/Research Universities,10913,7841,3072,9152,1761,7237,1915,74,60,46,46,1,43,11,58,57,6
Dallas Baptist University,2631,1113,492,42,44,34176,34176,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),5422,3113,2309,3435,1987,2463,972,95,94,25,25,4,34,91,57,56,8
University of Dallas,1224,1103,380,90,34,48710,48710,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (larger programs),2598,1705,893,1380,1218,1365,15,100,100,23,23,6,25,100,58,57,11
East Texas Baptist University,709,522,345,74,66,32160,32160,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Distant,Baccalaureate Colleges--Diverse Fields,1247,1086,161,1196,51,1066,130,100,99,56,55,4,51,96,81,81,7
Texas A & M University-Texarkana,830,309,187,37,61,16078,24502,Texas,"Public, 4-year or above",Public,No,0,Rural: Fringe,Master's Colleges and Universities (larger programs),1842,1002,840,1401,441,924,477,98,97,50,50,1,25,90,40,40,0
Texas A & M University-Commerce,4236,2888,943,68,33,14867,25487,Texas,"Public, 4-year or above",Public,No,0,Town: Distant,Doctoral/Research Universities,11591,6549,5042,6969,4622,5178,1791,93,87,57,57,6,61,48,63,62,7
Hardin-Simmons University,2091,786,415,38,53,33626,33626,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (medium programs),2220,1792,428,1772,448,1556,216,98,97,48,34,14,47,88,70,64,6
Houston Baptist University,5872,4297,1135,73,26,39001,39001,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (medium programs),2910,2315,595,2171,739,2005,166,100,100,51,51,3,41,99,58,57,3
University of Houston-Victoria,3128,1596,310,51,19,18118,28738,Texas,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),4491,1848,2643,2889,1602,1466,1423,96,92,67,67,1,50,90,69,69,4
University of Houston,17407,10167,3434,58,34,22463,30959,Texas,"Public, 4-year or above",Public,No,0,City: Large,Research Universities (very high research activity),39540,28486,11054,31706,7834,22829,8877,87,77,41,41,5,41,65,37,36,4
Howard Payne University,1585,853,347,54,41,33853,33853,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,1170,1020,150,1100,70,983,117,99,99,45,45,22,60,99,74,73,8
Huston-Tillotson University,1778,816,211,46,26,27044,27044,Texas,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Arts & Sciences,973,840,133,926,47,840,86,97,92,74,74,72,61,46,87,87,0
University of the Incarnate Word,4072,3790,1045,93,28,39124,39124,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),8685,5254,3431,6491,2194,4201,2290,100,100,48,48,4,53,90,71,71,4
Lamar University,4788,3678,1451,77,39,21769,30265,Texas,"Public, 4-year or above",Public,No,0,City: Midsize,Doctoral/Research Universities,14035,7356,6679,9382,4653,6604,2778,81,72,53,53,2,49,12,59,59,3
Texas A & M International University,4784,2289,828,48,36,17366,25862,Texas,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (larger programs),7431,4184,3247,6585,846,4022,2563,99,96,82,78,4,90,61,21,21,1
LeTourneau University,1810,736,335,41,46,38775,38775,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Small,Master's Colleges and Universities (medium programs),2729,1392,1337,2305,424,1333,972,99,99,33,33,24,26,96,60,60,6
Lubbock Christian University,783,743,255,95,34,30966,30966,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Master's Colleges and Universities (smaller programs),2002,1332,670,1531,471,1258,273,99,96,37,37,12,43,90,89,89,6
University of Mary Hardin-Baylor,5540,4691,675,85,14,36180,36180,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Suburb: Small,Master's Colleges and Universities (smaller programs),3492,2998,494,3063,429,2793,270,96,96,42,42,5,50,95,74,69,12
McMurry University,1396,827,250,59,30,36421,36421,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Midsize,Baccalaureate Colleges--Diverse Fields,1216,1034,182,1212,4,1032,180,99,99,51,50,19,54,98,73,72,15
Midwestern State University,3023,2170,847,72,39,17904,19854,Texas,"Public, 4-year or above",Public,No,0,City: Midsize,Master's Colleges and Universities (medium programs),5870,3984,1886,5193,677,3861,1332,90,73,40,40,0,38,50,54,53,4
University of North Texas,18299,10922,4617,60,42,20232,28728,Texas,"Public, 4-year or above",Public,No,0,City: Midsize,Research Universities (high research activity),38315,27282,11033,31243,7072,24126,7117,89,68,39,39,1,49,54,55,53,4
Our Lady of the Lake University,3789,2486,341,66,14,37078,37078,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Doctoral/Research Universities,2927,2498,429,1555,1372,1312,243,97,97,67,67,36,72,96,81,81,1
The University of Texas-Pan American,9313,5790,3102,62,54,16245,24741,Texas,"Public, 4-year or above",Public,No,0,City: Small,Master's Colleges and Universities (larger programs),20053,14138,5915,17230,2823,13119,4111,90,85,70,70,3,68,36,27,26,2
Paul Quinn College,632,623,70,99,11,26300,26300,Texas,"Private not-for-profit, 4-year or above",Private NFP,Yes,1,City: Large,Baccalaureate Colleges--Diverse Fields,243,216,27,243,0,216,27,71,71,65,59,48,29,4,62,62,0
Prairie View A & M University,10747,4548,1464,42,32,17592,26178,Texas,"Public, 4-year or above",Public,Yes,1,Town: Distant,Master's Colleges and Universities (larger programs),8283,6828,1455,6731,1552,6234,497,97,87,74,74,21,48,40,86,86,4
Rice University,15415,2581,978,17,38,54291,54291,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Research Universities (very high research activity),6628,6356,272,3965,2663,3904,61,75,60,19,19,2,14,60,19,18,3
Saint Edward's University,3694,2901,791,79,27,47500,47500,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),4861,3651,1210,4089,772,3442,647,90,86,35,35,6,39,85,61,60,10
University of St Thomas,782,604,237,77,39,41486,41486,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),3525,1623,1902,1572,1953,1269,303,92,91,38,38,19,38,91,43,43,3
Sam Houston State University,9315,6054,2413,65,40,20024,28520,Texas,"Public, 4-year or above",Public,No,0,Town: Distant,Doctoral/Research Universities,19210,14132,5078,16255,2955,13359,2896,87,71,46,46,1,54,23,61,61,2
Schreiner University,894,828,299,93,36,35509,35509,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,Town: Remote,Baccalaureate Colleges--Diverse Fields,1136,1095,41,1065,71,1029,36,100,100,44,44,2,15,100,78,78,8
St Mary's University,5147,2997,596,58,20,38192,38192,Texas,"Private not-for-profit, 4-year or above",Private NFP,No,0,City: Large,Master's Colleges and Universities (larger programs),3868,3279,589,2393,1475,2286,107,98,96,54,53,16,61,96,75,75,5
